fact_id,brand,product,fact_key,fact_type,program_kind,venue_source,program_source
fact:v3:foton:academic_year_2026_27_semester_1_weeks:9e0e35a33b,foton,academic_year_2026_27,academic_year_2026_27.semester_1_weeks,course_parameter,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:academic_year_2026_27_semester_1_weeks:3ad9021e33,unpk,academic_year_2026_27,academic_year_2026_27.semester_1_weeks,course_parameter,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:academic_year_2026_27_semester_2_weeks:426b611f27,foton,academic_year_2026_27,academic_year_2026_27.semester_2_weeks,course_parameter,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:academic_year_2026_27_semester_2_weeks:54d70ef4e2,unpk,academic_year_2026_27,academic_year_2026_27.semester_2_weeks,course_parameter,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:academic_year_2026_27_start:1b2531b67a,foton,academic_year_2026_27,academic_year_2026_27.start,course_parameter,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:academic_year_2026_27_start:68812d0d30,unpk,academic_year_2026_27,academic_year_2026_27.start,course_parameter,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:academic_year_2026_27_total_lessons:4e93f2f489,foton,academic_year_2026_27,academic_year_2026_27.total_lessons,course_parameter,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:academic_year_2026_27_total_lessons:1b5921ba8a,unpk,academic_year_2026_27,academic_year_2026_27.total_lessons,course_parameter,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:ls_city_2026_unpk_discounts_already_paid_2026_27:c110ae8db2,unpk,city_camp_2026,ls_city_2026_unpk.discounts.already_paid_2026_27,discount,camp_city,manual_any_structural_tail,product_or_fact_key
fact:v3:unpk:ls_city_2026_unpk_discounts_former_student_same_brand:4a858e388b,unpk,city_camp_2026,ls_city_2026_unpk.discounts.former_student_same_brand,discount,camp_city,manual_any_structural_tail,product_or_fact_key
fact:v3:unpk:ls_city_2026_unpk_discounts_mfti_employees:d06ee2680d,unpk,city_camp_2026,ls_city_2026_unpk.discounts.mfti_employees,discount,camp_city,manual_any_structural_tail,product_or_fact_key
fact:v3:unpk:ls_city_2026_unpk_discounts_multichild:693e386ee1,unpk,city_camp_2026,ls_city_2026_unpk.discounts.multichild,discount,camp_city,manual_any_structural_tail,product_or_fact_key
fact:v3:unpk:ls_city_2026_unpk_discounts_refer_a_friend_advanced:b2ecc00656,unpk,city_camp_2026,ls_city_2026_unpk.discounts.refer_a_friend.advanced,discount,camp_city,manual_any_structural_tail,product_or_fact_key
fact:v3:unpk:ls_city_2026_unpk_discounts_refer_a_friend_base:b67abc9517,unpk,city_camp_2026,ls_city_2026_unpk.discounts.refer_a_friend.base,discount,camp_city,manual_any_structural_tail,product_or_fact_key
fact:v3:unpk:ls_city_2026_unpk_free_morning_club_from_day:f8e850c55e,unpk,city_camp_2026,ls_city_2026_unpk.free_morning_club.from_day,camp_city,camp_city,manual_any_structural_tail,product_or_fact_key
fact:v3:unpk:ls_city_2026_unpk_free_morning_club_name:5cd79542d3,unpk,city_camp_2026,ls_city_2026_unpk.free_morning_club.name,camp_city,camp_city,manual_any_structural_tail,product_or_fact_key
fact:v3:unpk:ls_city_2026_unpk_free_morning_club_time:decd807aa5,unpk,city_camp_2026,ls_city_2026_unpk.free_morning_club.time,camp_city,camp_city,manual_any_structural_tail,product_or_fact_key
fact:v3:unpk:ls_city_2026_unpk_meals:407edd6503,unpk,city_camp_2026,ls_city_2026_unpk.meals,camp_city,camp_city,manual_any_structural_tail,product_or_fact_key
fact:v3:unpk:ls_city_2026_unpk_not_to_confuse_with:9338e4359e,unpk,city_camp_2026,ls_city_2026_unpk.not_to_confuse_with,camp_city,camp_city,manual_any_structural_tail,product_or_fact_key
fact:v3:unpk:r4_1_owner_2026_06_12_unpk_city_summer_school_tariffs:a7fbee1789,unpk,city_summer_school_2026,r4_1_owner_2026_06_12.unpk.city_summer_school_tariffs,price,camp_city,manual_any_structural_tail,product_or_fact_key
fact:v3:foton:r4_owner_2026_06_11_foton_center_visit_by_appointment:813095a701,foton,contacts_and_visits,r4_owner_2026_06_11.foton.center_visit_by_appointment,process,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:unpk:r4_owner_2026_06_11_unpk_center_visit_by_appointment:aaf24d3fdd,unpk,contacts_and_visits,r4_owner_2026_06_11.unpk.center_visit_by_appointment,process,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:foton:contacts_foton_contact_hours_client_safe_text:c8fcd32d63,foton,contacts_foton,contacts_foton.contact_hours.client_safe_text,contact,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:foton:contacts_foton_email:a841aacae0,foton,contacts_foton,contacts_foton.email,contact,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:foton:contacts_foton_phone:5f5b1d33cf,foton,contacts_foton,contacts_foton.phone,contact,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:foton:contacts_foton_telegram:d218deb94f,foton,contacts_foton,contacts_foton.telegram,contact,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:foton:contacts_foton_toll_free:c9188d5d4e,foton,contacts_foton,contacts_foton.toll_free,contact,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:foton:contacts_foton_vk:5dc687857e,foton,contacts_foton,contacts_foton.vk,contact,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:foton:contacts_foton_website:c60aa67ca9,foton,contacts_foton,contacts_foton.website,contact,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:foton:contacts_foton_whatsapp:3c3fb97db4,foton,contacts_foton,contacts_foton.whatsapp,contact,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:unpk:contacts_unpk_contact_hours_client_safe_text:d49ca776ca,unpk,contacts_unpk,contacts_unpk.contact_hours.client_safe_text,contact,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:unpk:contacts_unpk_email:718d885c77,unpk,contacts_unpk,contacts_unpk.email,contact,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:unpk:contacts_unpk_phone:13999567b6,unpk,contacts_unpk,contacts_unpk.phone,contact,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:unpk:contacts_unpk_telegram:eb9ebca792,unpk,contacts_unpk,contacts_unpk.telegram,contact,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:unpk:contacts_unpk_toll_free:b286b76e62,unpk,contacts_unpk,contacts_unpk.toll_free,contact,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:unpk:contacts_unpk_website:4df75b17bf,unpk,contacts_unpk,contacts_unpk.website,contact,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:unpk:fiztech_olympiad_open_question:ea310a5a5f,unpk,fiztech_olympiad_general,fiztech_olympiad.open_question,program,olympiad,manual_any_structural_tail,product_or_fact_key
fact:v3:unpk:fiztech_olympiad_prices_group:0a8949bd9a,unpk,fiztech_olympiad_general,fiztech_olympiad.prices.group,price,olympiad,manual_any_structural_tail,product_or_fact_key
fact:v3:unpk:fiztech_olympiad_prices_individual:38eac857f7,unpk,fiztech_olympiad_general,fiztech_olympiad.prices.individual,price,olympiad,manual_any_structural_tail,product_or_fact_key
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_attendance_makeup_other_group_client_safe_text:e673afccdc,foton,kb_v6_6_client_safe_facts_2026_06_08,kb_v6_6_client_safe_facts_2026_06_08.attendance_makeup_other_group.client_safe_text,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:kb_v6_6_client_safe_facts_2026_06_08_attendance_makeup_other_group_client_safe_text:41a7172fdc,unpk,kb_v6_6_client_safe_facts_2026_06_08,kb_v6_6_client_safe_facts_2026_06_08.attendance_makeup_other_group.client_safe_text,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_entrance_test_results_delivery_client_safe_text:03d369f217,foton,kb_v6_6_client_safe_facts_2026_06_08,kb_v6_6_client_safe_facts_2026_06_08.entrance_test_results_delivery.client_safe_text,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_homework_check_always_checked_client_safe_text:6097b27e69,foton,kb_v6_6_client_safe_facts_2026_06_08,kb_v6_6_client_safe_facts_2026_06_08.homework_check_always_checked.client_safe_text,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:kb_v6_6_client_safe_facts_2026_06_08_homework_check_always_checked_client_safe_text:f7ff4c98c7,unpk,kb_v6_6_client_safe_facts_2026_06_08,kb_v6_6_client_safe_facts_2026_06_08.homework_check_always_checked.client_safe_text,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_materials_handouts_default_client_safe_text:af494216a3,foton,kb_v6_6_client_safe_facts_2026_06_08,kb_v6_6_client_safe_facts_2026_06_08.materials_handouts_default.client_safe_text,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:kb_v6_6_client_safe_facts_2026_06_08_materials_handouts_default_client_safe_text:4e864a630b,unpk,kb_v6_6_client_safe_facts_2026_06_08,kb_v6_6_client_safe_facts_2026_06_08.materials_handouts_default.client_safe_text,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:kb_v6_6_client_safe_facts_2026_06_08_offline_courses_seminar_format_client_safe_text:5c5b5d4074,unpk,kb_v6_6_client_safe_facts_2026_06_08,kb_v6_6_client_safe_facts_2026_06_08.offline_courses_seminar_format.client_safe_text,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_offline_first_lesson_diagnostic_check_client_safe_text:0946974a13,foton,kb_v6_6_client_safe_facts_2026_06_08,kb_v6_6_client_safe_facts_2026_06_08.offline_first_lesson_diagnostic_check.client_safe_text,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_offline_groups_levels_client_safe_text:0b5bcd0df2,foton,kb_v6_6_client_safe_facts_2026_06_08,kb_v6_6_client_safe_facts_2026_06_08.offline_groups_levels.client_safe_text,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:kb_v6_6_client_safe_facts_2026_06_08_offline_groups_levels_client_safe_text:e00a11fe33,unpk,kb_v6_6_client_safe_facts_2026_06_08,kb_v6_6_client_safe_facts_2026_06_08.offline_groups_levels.client_safe_text,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:kb_v6_6_client_safe_facts_2026_06_08_offline_phys_tech_level_default_client_safe_text:647fb1f19d,unpk,kb_v6_6_client_safe_facts_2026_06_08,kb_v6_6_client_safe_facts_2026_06_08.offline_phys_tech_level_default.client_safe_text,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:kb_v6_6_client_safe_facts_2026_06_08_offline_phys_tech_no_separate_groups_foton_2026_27_client_safe_text:cf2c7cd2c2,foton,kb_v6_6_client_safe_facts_2026_06_08,kb_v6_6_client_safe_facts_2026_06_08.offline_phys_tech_no_separate_groups_foton_2026_27.client_safe_text,program,regular,manual_any_structural_tail,product_or_fact_type
