source_id,title,source_kind,path,google_drive_url,last_updated_at,sha256,read_status,freshness_status,fact_types,usable_for_precise_answer,status_reason,notes,metadata
source:local_docx:a238607e99b38079,База знаний КЦ,local_docx,/Users/dmitrijfabarisov/Projects/Mango analyse/База знаний КЦ.docx,,2026-05-12T13:21:44.770052+00:00,a94ead8fa22ab91022d9c6c284fd60e08efa90b93c152b0fec2f7d1723eef327,read,unknown,manager_instruction;restriction;price;schedule;documents;payment_methods;program,False,local_source_readable,Local KC knowledge base. Sections are chunked before prompt use; the whole docx must not be sent to LLM.,{}
source:local_markdown:cdb6228413e11d7a,KC bot knowledge base draft 2026-05-13,local_markdown,/Users/dmitrijfabarisov/Projects/Mango analyse/docs/KC_BOT_KNOWLEDGE_BASE_DRAFT_2026-05-13.md,,2026-05-12T23:08:54.156744+00:00,bb76ed70f2687c56fdb2b7f872a96db09c523fb0510ef0c9269130bf6f087406,read,unknown,manager_instruction;restriction;documents;payment_methods;program,False,local_source_readable,Local draft with KC bot knowledge boundaries; read-only source for short chunks.,{}
source:local_markdown:19398a8abc802579,Drive KC knowledge base build plan 2026-05-13,local_markdown,/Users/dmitrijfabarisov/Projects/Mango analyse/docs/DRIVE_KC_KNOWLEDGE_BASE_BUILD_PLAN_2026-05-13.md,,2026-05-12T22:35:35.545014+00:00,bf5ba85dc5293bb62ece80261eb4d70d3ffdfc61bd57fabbfab695d3dad9391e,read,unknown,manager_instruction;restriction;price;documents,False,local_source_readable,Local plan for Google Drive knowledge processing; not a fresh fact source by itself.,{}
source:local_csv:5c9ae609d4c7d46f,ROP bot policy questionnaire v2 approved CSV,local_csv,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/question_catalog/rop_bot_policy_questionnaire_v2_2026-05-15.csv,,2026-05-15T00:17:57.346267+00:00,5be48bf00c4109e51cb89e705ee77f734f141aa549ba201c0102db9e22faff08,read,unknown,rop_policy;restriction,False,local_source_readable,Canonical ROP routing and allowed-answer policy for Telegram pilot context.,{}
source:local_xlsx:5fd8afd7600f5872,ROP bot policy questionnaire approved XLSX,local_xlsx,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/question_catalog/rop_bot_policy_questionnaire_APPROVED_2026-05-15.xlsx,,2026-05-15T00:13:07.614424+00:00,3636d5861a72086966cb5b44d3830f575904a28645a81f3f2f82b7554b21a9e8,read,unknown,rop_policy;restriction,False,local_source_readable,Approved ROP policy workbook. Used for inventory and sha256; CSV remains the text-readable source.,{}
source:local_csv:11ee1aa6835d4f4d,Customer question classes,local_csv,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/question_catalog/customer_question_classes.csv,,2026-05-13T19:16:06.134486+00:00,9d5875da49620c590cf2c188cef571af1df2b88683218daec12d329a50493929,read,unknown,question_catalog,False,local_source_readable,Question class taxonomy for matching a new customer message to policy and fact requirements.,{}
source:local_jsonl:a62ad52b9880ce91,Customer question items,local_jsonl,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/question_catalog/customer_question_items.jsonl,,2026-05-13T19:16:06.078735+00:00,e8313edeb8f18336a7e15dde700d224290d2faf4dedf4fc6f0ea0c91c4621934,read,unknown,question_catalog,False,local_source_readable,Historical redacted question examples. Use only short relevant fragments in prompt context.,{}
source:local_json:67cddf8247d07f49,Current fact source registry,local_json,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/question_catalog/current_fact_source_registry.json,,2026-05-15T00:18:09.101637+00:00,ebfe6ada85636d99b2c2185af2bab3b92a3cfb0b7cdd021c0a428573912d15e3,read,unknown,price;schedule;documents;payment_methods;program;question_catalog,False,local_source_readable,Question catalog fact source registry. Entries still require manual freshness confirmation.,{}
source:local_csv:36801d70584f85d3,Question catalog fact requirements,local_csv,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/question_catalog/fact_requirements.csv,,2026-05-13T19:16:06.163481+00:00,4f5af60a2770aca355b5f459c5722a1b0587d43a432cf4c0f608c1e648991f0e,read,unknown,question_catalog;restriction,False,local_source_readable,Fact requirements and fallback rules for question classes.,{}
source:google_drive_doc:45de1d52eb2dbe32,УНПК Стоимость обучения и порядок оплаты на 26/2027 уч г от 16.03.26,google_drive_doc,,google-drive://manual-registration/унпк_стоимость_обучения_и_порядок_оплаты_на_26_2027_уч_г_от_16.03.26,,37789d225199fdd2a057d3d7cff239396fa6717c2d225b8b7e3c5f3734c2f863,metadata_only,metadata_only,price;payment_methods,False,google_drive_registered_metadata_only,Registered as metadata only; use precise facts only after verified local extraction.,"{""folder_title"": ""Google Drive: актуальные документы по ценам 2026/2027"", ""live_access_used"": false, ""metadata_only"": true, ""sha256_scope"": ""metadata_record""}"
source:google_drive_doc:eef515411fedd003,ФОТОН Стоимость обучения и порядок оплаты на 26/27 уч от 16.03.26,google_drive_doc,,google-drive://manual-registration/фотон_стоимость_обучения_и_порядок_оплаты_на_26_27_уч_от_16.03.26,,1c528a2678410cee199d6fa0b9edd8fc8b4cd624be3f1bf33cf8a9869b627811,metadata_only,metadata_only,price;payment_methods,False,google_drive_registered_metadata_only,Registered as metadata only; use precise facts only after verified local extraction.,"{""folder_title"": ""Google Drive: актуальные документы по ценам 2026/2027"", ""live_access_used"": false, ""metadata_only"": true, ""sha256_scope"": ""metadata_record""}"
