approval_status,brand,contains_dynamic_facts,contains_high_risk,fact_types,forbidden_for_client,freshness_status,google_drive_file_id,limitation_reason,notes,origin,path,processing_status,read_status,read_succeeded,requires_manager_confirmation,schema_version,sha256,sha256_text,source_id,source_kind,source_role,source_sha256,source_type,source_updated_at,status_reason,title,url,usable_for_precise_answer,source_status
not_approved,foton,True,True,"[""price"", ""schedule"", ""documents"", ""payment_methods"", ""manager_instruction"", ""restriction"", ""program""]",True,internal_only,1be22cPbevAeyaFSqWpcNTuCpt5EVobax6hRl9PEnro8,internal_source_not_for_client,Источник прочитан read-only. Точные факты заблокированы до проверки РОПом.,google_drive_doc_export,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260517_v1/source_exports/google_drive_docs/call_scripts.txt,processed,read,True,True,kb_release_v2_source_v1,9f0a60adef8c8d78c95a10e50555e33b57439f1e6881535308c97cf7eceffdc6,9f0a60adef8c8d78c95a10e50555e33b57439f1e6881535308c97cf7eceffdc6,source:gdrive_export:call_scripts:fb852e0a31,google_drive_doc_export,internal_rule,9f0a60adef8c8d78c95a10e50555e33b57439f1e6881535308c97cf7eceffdc6,google_drive_doc_export,,text_export_read,Обзвоны - скрипты,https://docs.google.com/document/d/1be22cPbevAeyaFSqWpcNTuCpt5EVobax6hRl9PEnro8,False,read
not_approved,unpk,True,True,"[""documents"", ""payment_methods"", ""discount"", ""program""]",True,internal_only,1-4yMUiO4rCFxH0woZRBwvycqacFB7gcyehv5Nr9nhds,internal_source_not_for_client,Источник прочитан read-only. Точные факты заблокированы до проверки РОПом.,google_drive_doc_export,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260517_v1/source_exports/google_drive_docs/courses_pk_mfti_unpk.txt,processed,read,True,True,kb_release_v2_source_v1,207221733d77108a7102837282604940249cecd7128b463ca04b53ac8c00ff63,207221733d77108a7102837282604940249cecd7128b463ca04b53ac8c00ff63,source:gdrive_export:courses_pk_mfti_unpk:3838ccf699,google_drive_doc_export,internal_rule,207221733d77108a7102837282604940249cecd7128b463ca04b53ac8c00ff63,google_drive_doc_export,,text_export_read,Курсы при ПК МФТИ + УНПК,https://docs.google.com/document/d/1-4yMUiO4rCFxH0woZRBwvycqacFB7gcyehv5Nr9nhds,False,read
not_approved,mixed,True,False,"[""program""]",False,stale_or_conflicting,,source_too_short_manual_review_required,Источник прочитан read-only. Точные факты заблокированы до проверки РОПом.,google_drive_doc_export,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260517_v1/source_exports/google_drive_docs/enrollment_2024_2025_script.txt,manual_review_required,manual_review_required,False,True,kb_release_v2_source_v1,d259819940e4d0a09f511146089e42d024a02cfbdf4339870aa9f78fb4927206,d259819940e4d0a09f511146089e42d024a02cfbdf4339870aa9f78fb4927206,source:gdrive_export:enrollment_2024_2025_script:7d6a572914,google_drive_doc_export,program,d259819940e4d0a09f511146089e42d024a02cfbdf4339870aa9f78fb4927206,google_drive_doc_export,,export_too_short,enrollment 2024 2025 script,,False,manual_review_required
not_approved,foton,True,True,"[""price"", ""schedule"", ""payment_methods"", ""discount"", ""program""]",True,needs_manager_confirmation,1k0hzS8cZjD2NXeE5mcjlMTEOtTVINlTstZpWOUI1gSc,contains_prices_dates_or_terms_needs_rop_approval,Источник прочитан read-only. Точные факты заблокированы до проверки РОПом.,google_drive_doc_export,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260517_v1/source_exports/google_drive_docs/foton_prices_2026_2027.txt,processed,read,True,True,kb_release_v2_source_v1,8c19ff8711a2c070749b07c59f8d5eb33880e3ab865a065a60a9d25ebd1bcc06,8c19ff8711a2c070749b07c59f8d5eb33880e3ab865a065a60a9d25ebd1bcc06,source:gdrive_export:foton_prices_2026_2027:2bcce6a26c,google_drive_doc_export,precise_fact_candidate,8c19ff8711a2c070749b07c59f8d5eb33880e3ab865a065a60a9d25ebd1bcc06,google_drive_doc_export,2026-03-17T08:03:02.111Z,text_export_read,ФОТОН Стоимость обучения и порядок оплаты на 26/27 уч от 16.03.26,https://docs.google.com/document/d/1k0hzS8cZjD2NXeE5mcjlMTEOtTVINlTstZpWOUI1gSc,False,read
not_approved,foton,True,True,"[""rop_policy"", ""schedule"", ""documents"", ""manager_instruction"", ""restriction"", ""program""]",True,internal_only,1LVKZB1RAsTK-uPnODEVXXUorw4GSEDLFOM07lRoybwM,internal_source_not_for_client,Источник прочитан read-only. Точные факты заблокированы до проверки РОПом.,google_drive_doc_export,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260517_v1/source_exports/google_drive_docs/foton_questions.txt,processed,read,True,True,kb_release_v2_source_v1,8eff703d5384f864ab7db3487d9d68c3cab3698a2851489449c32d0aadf79348,8eff703d5384f864ab7db3487d9d68c3cab3698a2851489449c32d0aadf79348,source:gdrive_export:foton_questions:f58285a933,google_drive_doc_export,internal_rule,8eff703d5384f864ab7db3487d9d68c3cab3698a2851489449c32d0aadf79348,google_drive_doc_export,,text_export_read,Вопросы по ФОТОНу и с чем их едят,https://docs.google.com/document/d/1LVKZB1RAsTK-uPnODEVXXUorw4GSEDLFOM07lRoybwM,False,read
not_approved,foton,True,True,"[""price"", ""manager_instruction"", ""restriction"", ""program""]",True,unknown,,contains_prices_dates_or_terms_needs_rop_approval,Источник прочитан read-only. Точные факты заблокированы до проверки РОПом.,google_drive_doc_export,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260517_v1/source_exports/google_drive_docs/intensives_content.txt,processed,read,True,True,kb_release_v2_source_v1,a9b62921404c8b62d6c19f803557c7ffd2673142c349106b2e51dd548b04d86d,a9b62921404c8b62d6c19f803557c7ffd2673142c349106b2e51dd548b04d86d,source:gdrive_export:intensives_content:82703b156b,google_drive_doc_export,manager_rule,a9b62921404c8b62d6c19f803557c7ffd2673142c349106b2e51dd548b04d86d,google_drive_doc_export,,text_export_read,intensives content,,False,read
not_approved,foton,True,True,"[""price"", ""documents"", ""payment_methods"", ""discount"", ""manager_instruction"", ""restriction"", ""program""]",True,internal_only,1bMhN0DtqNK8Z2XdwGMci2lAv0CtSYQ4QGb1Hr4dQ9Oo,internal_source_not_for_client,Источник прочитан read-only. Точные факты заблокированы до проверки РОПом.,google_drive_doc_export,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260517_v1/source_exports/google_drive_docs/kc_knowledge_base.txt,processed,read,True,True,kb_release_v2_source_v1,28927be03392aa10d17fd0cd06af8bbe815b8ffb36fe22b3731e6d5152d210d3,28927be03392aa10d17fd0cd06af8bbe815b8ffb36fe22b3731e6d5152d210d3,source:gdrive_export:kc_knowledge_base:31df509c32,google_drive_doc_export,internal_rule,28927be03392aa10d17fd0cd06af8bbe815b8ffb36fe22b3731e6d5152d210d3,google_drive_doc_export,2026-04-23T13:25:08.711Z,text_export_read,База знаний КЦ,https://docs.google.com/document/d/1bMhN0DtqNK8Z2XdwGMci2lAv0CtSYQ4QGb1Hr4dQ9Oo,False,read
not_approved,foton,True,True,"[""rop_policy"", ""price"", ""schedule"", ""documents"", ""payment_methods"", ""discount"", ""manager_instruction"", ""program""]",True,needs_manager_confirmation,1M_zlGTX8t1V8pJBRyR1vJsDgmWxEiW2gCOxdg3alppw,contains_prices_dates_or_terms_needs_rop_approval,Источник прочитан read-only. Точные факты заблокированы до проверки РОПом.,google_drive_doc_export,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260517_v1/source_exports/google_drive_docs/lvsh_2026_foton.txt,processed,read,True,True,kb_release_v2_source_v1,d44707618d6640fabb7399bfa1bcaa3f24ea4a0ed035d98cf1a9b5608f346add,d44707618d6640fabb7399bfa1bcaa3f24ea4a0ed035d98cf1a9b5608f346add,source:gdrive_export:lvsh_2026_foton:accd826772,google_drive_doc_export,qa_pair,d44707618d6640fabb7399bfa1bcaa3f24ea4a0ed035d98cf1a9b5608f346add,google_drive_doc_export,,text_export_read,ЛВШ 2026 Фотон,https://docs.google.com/document/d/1M_zlGTX8t1V8pJBRyR1vJsDgmWxEiW2gCOxdg3alppw,False,read
not_approved,unpk,True,True,"[""rop_policy"", ""price"", ""schedule"", ""documents"", ""discount"", ""manager_instruction"", ""restriction"", ""program""]",True,needs_manager_confirmation,1ABm0eHf5r3hfa3jxREUIMIQcUAYA38qJYB3L2LYLRiw,contains_prices_dates_or_terms_needs_rop_approval,Источник прочитан read-only. Точные факты заблокированы до проверки РОПом.,google_drive_doc_export,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260517_v1/source_exports/google_drive_docs/lvsh_2026_unpk.txt,processed,read,True,True,kb_release_v2_source_v1,a3aa29542a5ed09f8a00214823b5917a2be0f1362661b3e35b2ca639e82734ff,a3aa29542a5ed09f8a00214823b5917a2be0f1362661b3e35b2ca639e82734ff,source:gdrive_export:lvsh_2026_unpk:cd06d6bb56,google_drive_doc_export,qa_pair,a3aa29542a5ed09f8a00214823b5917a2be0f1362661b3e35b2ca639e82734ff,google_drive_doc_export,,text_export_read,ЛВШ 2026 УНПК,https://docs.google.com/document/d/1ABm0eHf5r3hfa3jxREUIMIQcUAYA38qJYB3L2LYLRiw,False,read
not_approved,unpk,True,False,"[""rop_policy"", ""price"", ""discount"", ""program""]",False,unknown,,contains_prices_dates_or_terms_needs_rop_approval,Источник прочитан read-only. Точные факты заблокированы до проверки РОПом.,google_drive_doc_export,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260517_v1/source_exports/google_drive_docs/lvsh_new_students_script.txt,processed,read,True,True,kb_release_v2_source_v1,f39c081acb93381d0e860b1b0b34da303916696ce27116177dd1d88d83206786,f39c081acb93381d0e860b1b0b34da303916696ce27116177dd1d88d83206786,source:gdrive_export:lvsh_new_students_script:a9771bcc07,google_drive_doc_export,conversation_script,f39c081acb93381d0e860b1b0b34da303916696ce27116177dd1d88d83206786,google_drive_doc_export,,text_export_read,lvsh new students script,,False,read
