schema_version,fact_id,fact_key,fact_type,fact_types,title,fact_text,short_fact,client_safe_text,manager_check_text,brand,active_brand_scope,cross_brand_policy,cross_brand_mixed,product,source_id,source_title,source_path,source_url,source_sha256,source_status,freshness_status,verification_status,valid_from,valid_until,verified_by,verified_at,owner_role,allowed_for_client_answer,usable_for_precise_answer,requires_manager_confirmation,requires_amo_check,requires_tallanto_check,route_policy,risk_level,related_theme_ids,forbidden_promises,forbidden_client_mentions,forbidden_for_client,internal_only,notes,record_type
kb_release_v2_fact_v1,fact:v2:foton:legal_entities:13901ab8f8,legal_entities,program,"[""program""]",legal_entities,,legal_entities,,,foton,internal_only,brand_neutral_allowed,False,legal_entities,source:claude_layer:legal_entities,legal_entities,,,,unknown,document_verified,document_verified,,,,,РОП/ответственный владелец факта,False,False,True,False,False,draft_for_manager,low,"[""theme:016_program_content""]","[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""УНПК МФТИ"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",True,True,Импортировано из Claude layer.,fact
kb_release_v2_fact_v1,fact:v2:foton:licenses_ooo_cdpo_foton:5304929055,licenses.ooo_cdpo_foton,program,"[""program""]",licenses / ooo_cdpo_foton,number: №77753 (серия 50Л01 №0009633); date: 23.11.2018; holder: ООО «ЦДПО Фотон»; internal_only_for_number: True,licenses / ooo_cdpo_foton,number: №77753 (серия 50Л01 №0009633); date: 23.11.2018; holder: ООО «ЦДПО Фотон»; internal_only_for_number: True,number: №77753 (серия 50Л01 №0009633); date: 23.11.2018; holder: ООО «ЦДПО Фотон»; internal_only_for_number: True,foton,foton_bot,brand_neutral_allowed,False,licenses,source:gdrive_export:foton_prices_2026_2027:2bcce6a26c,ФОТОН Стоимость обучения и порядок оплаты на 26/27 уч от 16.03.26,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260517_v1/source_exports/google_drive_docs/foton_prices_2026_2027.txt,https://docs.google.com/document/d/1k0hzS8cZjD2NXeE5mcjlMTEOtTVINlTstZpWOUI1gSc,8c19ff8711a2c070749b07c59f8d5eb33880e3ab865a065a60a9d25ebd1bcc06,read,document_verified,document_verified,,,,,РОП/ответственный владелец факта,True,True,False,False,False,draft_for_manager,low,"[""theme:016_program_content""]","[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""УНПК МФТИ"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,Импортировано из Claude layer.,fact
kb_release_v2_fact_v1,fact:v2:foton:licenses_ooo_crdo_foton:ace220dce8,licenses.ooo_crdo_foton,program,"[""program""]",licenses / ooo_crdo_foton,number: Л035-01255-50/02496431; date: 20.06.2025; holder: ООО «ЦРДО Фотон»; internal_only_for_number: True,licenses / ooo_crdo_foton,number: Л035-01255-50/02496431; date: 20.06.2025; holder: ООО «ЦРДО Фотон»; internal_only_for_number: True,number: Л035-01255-50/02496431; date: 20.06.2025; holder: ООО «ЦРДО Фотон»; internal_only_for_number: True,foton,foton_bot,brand_neutral_allowed,False,licenses,source:gdrive_export:foton_prices_2026_2027:2bcce6a26c,ФОТОН Стоимость обучения и порядок оплаты на 26/27 уч от 16.03.26,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260517_v1/source_exports/google_drive_docs/foton_prices_2026_2027.txt,https://docs.google.com/document/d/1k0hzS8cZjD2NXeE5mcjlMTEOtTVINlTstZpWOUI1gSc,8c19ff8711a2c070749b07c59f8d5eb33880e3ab865a065a60a9d25ebd1bcc06,read,document_verified,document_verified,,,,,РОП/ответственный владелец факта,True,True,False,False,False,draft_for_manager,low,"[""theme:016_program_content""]","[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""УНПК МФТИ"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,Импортировано из Claude layer.,fact
kb_release_v2_fact_v1,fact:v2:foton:licenses_client_safe_summary:4e8d8a4549,licenses.client_safe_summary,price,"[""price""]",licenses / client_safe_summary,У нас есть лицензия на образовательную деятельность.,licenses / client_safe_summary,У нас есть лицензия на образовательную деятельность.,У нас есть лицензия на образовательную деятельность.,foton,foton_bot,brand_neutral_allowed,False,licenses,source:claude_layer:licenses_client_safe_summary,licenses / client_safe_summary,,,,unknown,document_verified,document_verified,,,,,РОП/ответственный владелец факта,True,True,False,False,False,draft_for_manager,low,"[""theme:001_pricing""]","[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""УНПК МФТИ"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,Импортировано из Claude layer.,fact
kb_release_v2_fact_v1,fact:v2:foton:prices_regular_2026_27:8f62ab94a5,prices_regular_2026_27,price,"[""price""]",prices_regular_2026_27,,prices_regular_2026_27,,,foton,foton_bot,brand_neutral_allowed,False,regular_courses,source:gdrive_export:лицензии_лицензия_фотон_pdf:cb68975275,Лицензии Лицензия ФОТОН.pdf,/Users/dmitrijfabarisov/Projects/Mango analyse/product_data/knowledge_base/kb_release_20260517_v1/source_exports/local_drive_extracts/Лицензии_Лицензия_ФОТОН.pdf.txt,,d98989c695bd328a1d8e2f8d4eb87d050b4e87f9e27857db20506190211efbc7,read,document_verified,document_verified,,,,,РОП/ответственный владелец факта,True,True,False,False,False,draft_for_manager,low,"[""theme:001_pricing""]","[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""УНПК МФТИ"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,Импортировано из Claude layer.,fact
kb_release_v2_fact_v1,fact:v2:foton:discounts:c79a4ec81a,discounts,discount,"[""discount""]",discounts,active_student_to_summer_camp: 7% действующим ученикам курсов Фотон на любой летний лагерь,discounts,active_student_to_summer_camp: 7% действующим ученикам курсов Фотон на любой летний лагерь,active_student_to_summer_camp: 7% действующим ученикам курсов Фотон на любой летний лагерь,foton,foton_bot,brand_neutral_allowed,False,discounts,source:claude_layer:discounts,discounts,,,,unknown,document_verified,document_verified,,,,,РОП/ответственный владелец факта,True,True,False,False,False,draft_for_manager,low,"[""theme:005_discounts""]","[""Не обещать условия вне утвержденного факта."", ""Не обещать индивидуальную скидку без менеджера.""]","[""УНПК"", ""УНПК МФТИ"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,Импортировано из Claude layer.,fact
kb_release_v2_fact_v1,fact:v2:foton:promo_codes_veb_rf_code:e6c98cda4d,promo_codes.veb_rf.code,program,"[""program""]",promo_codes / veb_rf / code,LVSH-VEB20,promo_codes / veb_rf / code,LVSH-VEB20,LVSH-VEB20,foton,foton_bot,brand_neutral_allowed,False,promo_codes,source:claude_layer:promo_codes_veb_rf_code,promo_codes / veb_rf / code,,,,unknown,document_verified,document_verified,,,,,РОП/ответственный владелец факта,True,True,False,False,False,draft_for_manager,low,"[""theme:016_program_content""]","[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""УНПК МФТИ"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,Импортировано из Claude layer.,fact
kb_release_v2_fact_v1,fact:v2:foton:promo_codes_veb_rf_discount:d58539662b,promo_codes.veb_rf.discount,discount,"[""discount""]",promo_codes / veb_rf / discount,"ЛВШ/ЛШ -20%, Курсы -25%",promo_codes / veb_rf / discount,"ЛВШ/ЛШ -20%, Курсы -25%","ЛВШ/ЛШ -20%, Курсы -25%",foton,foton_bot,brand_neutral_allowed,False,promo_codes,source:claude_layer:promo_codes_veb_rf_discount,promo_codes / veb_rf / discount,,,,unknown,document_verified,document_verified,,,,,РОП/ответственный владелец факта,True,True,False,False,False,draft_for_manager,low,"[""theme:005_discounts""]","[""Не обещать условия вне утвержденного факта."", ""Не обещать индивидуальную скидку без менеджера.""]","[""УНПК"", ""УНПК МФТИ"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,Импортировано из Claude layer.,fact
kb_release_v2_fact_v1,fact:v2:foton:promo_codes_fiztech_xxi_class_code:c66eb4a9e0,promo_codes.fiztech_xxi_class.code,program,"[""program""]",promo_codes / fiztech_xxi_class / code,LVSH-KF-10,promo_codes / fiztech_xxi_class / code,LVSH-KF-10,LVSH-KF-10,foton,foton_bot,brand_neutral_allowed,False,promo_codes,source:claude_layer:promo_codes_fiztech_xxi_class_code,promo_codes / fiztech_xxi_class / code,,,,unknown,document_verified,document_verified,,,,,РОП/ответственный владелец факта,True,True,False,False,False,draft_for_manager,low,"[""theme:016_program_content""]","[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""УНПК МФТИ"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,Импортировано из Claude layer.,fact
kb_release_v2_fact_v1,fact:v2:foton:promo_codes_fiztech_xxi_class_discount:e422c01850,promo_codes.fiztech_xxi_class.discount,discount,"[""discount""]",promo_codes / fiztech_xxi_class / discount,ЛВШ 2026: -10%,promo_codes / fiztech_xxi_class / discount,ЛВШ 2026: -10%,ЛВШ 2026: -10%,foton,foton_bot,brand_neutral_allowed,False,promo_codes,source:claude_layer:promo_codes_fiztech_xxi_class_discount,promo_codes / fiztech_xxi_class / discount,,,,unknown,document_verified,document_verified,,,,,РОП/ответственный владелец факта,True,True,False,False,False,draft_for_manager,low,"[""theme:005_discounts""]","[""Не обещать условия вне утвержденного факта."", ""Не обещать индивидуальную скидку без менеджера.""]","[""УНПК"", ""УНПК МФТИ"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,Импортировано из Claude layer.,fact
