schema_version,source_id,source_kind,title,path,url,sha256,source_sha256,brand,freshness_status,source_status,source_role,read_status,usable_for_precise_answer,requires_manager_confirmation
kb_release_v3_source_v1,claude_layer_v3:brand_rules,claude_yaml,brand_rules.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/brand_rules.yaml,,19d9c7ff4f9ed7e91222399e5a6756ca37225dbdfe2c4db5692574c777689a2f,19d9c7ff4f9ed7e91222399e5a6756ca37225dbdfe2c4db5692574c777689a2f,brand_neutral,document_verified,read,claude_v3_handoff_source,read,False,False
kb_release_v3_source_v1,claude_layer_v3:bot_policy,claude_yaml,bot_policy.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/bot_policy.yaml,,b05b12ebd4b45f6f41d5566dd499662089b6fd009c58f253e0f1bd3dbd5ae062,b05b12ebd4b45f6f41d5566dd499662089b6fd009c58f253e0f1bd3dbd5ae062,brand_neutral,document_verified,read,claude_v3_handoff_source,read,False,False
kb_release_v3_source_v1,claude_layer_v3:facts_for_bot_FOTON,claude_yaml,facts_for_bot_FOTON.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/facts_for_bot_FOTON.yaml,,3f581c47ce6efbb3e08bcbf88e34743cbcf257f9001b6ddc203801d614dded1d,3f581c47ce6efbb3e08bcbf88e34743cbcf257f9001b6ddc203801d614dded1d,foton,document_verified,read,claude_v3_handoff_source,read,True,False
kb_release_v3_source_v1,claude_layer_v3:facts_for_bot_UNPK,claude_yaml,facts_for_bot_UNPK.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/facts_for_bot_UNPK.yaml,,f595e3b9acdd3d17c2e4ec268627e4e12f5c983a5e4622729d3fedc47d64e2f7,f595e3b9acdd3d17c2e4ec268627e4e12f5c983a5e4622729d3fedc47d64e2f7,unpk,document_verified,read,claude_v3_handoff_source,read,True,False
kb_release_v3_source_v1,claude_layer_v3:facts_internal_only,claude_yaml,facts_internal_only.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/facts_internal_only.yaml,,0c07072597df6feed7c8937f4d06b77dea67cba4fb7792da71dd168d2d9743a5,0c07072597df6feed7c8937f4d06b77dea67cba4fb7792da71dd168d2d9743a5,internal,document_verified,read,claude_v3_handoff_source,read,False,False
kb_release_v3_source_v1,claude_layer_v3:open_questions,claude_markdown,OPEN_QUESTIONS_FOR_TEAM.md (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/OPEN_QUESTIONS_FOR_TEAM.md,,be7b51fd0da3fdc437e94f11c4448222b96132fdef66c119b27f1f1593d09c76,be7b51fd0da3fdc437e94f11c4448222b96132fdef66c119b27f1f1593d09c76,brand_neutral,fresh_verified,read,claude_v3_handoff_source,read,False,False
kb_release_v3_source_v1,claude_layer_v3:rebuild_requirements,claude_markdown,REBUILD_REQUIREMENTS_FROM_CLAUDE.md (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/REBUILD_REQUIREMENTS_FROM_CLAUDE.md,,2ff42a798854cb7660e2ad124ffb0dc9d41a8c28427a8cb50663b7e818265777,2ff42a798854cb7660e2ad124ffb0dc9d41a8c28427a8cb50663b7e818265777,brand_neutral,document_verified,read,claude_v3_handoff_source,read,False,False
kb_release_v3_source_v1,claude_layer_v3:changelog_final,claude_markdown,CHANGELOG_FINAL.md (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/CHANGELOG_FINAL.md,,b48fc4867242b2c63e869a6ebe79f7146b4101bd5995f8f8352d11b09753af59,b48fc4867242b2c63e869a6ebe79f7146b4101bd5995f8f8352d11b09753af59,brand_neutral,document_verified,read,claude_v3_handoff_source,read,False,False
kb_release_v3_source_v1,claude_layer_v3:changelog_team_answers,claude_markdown,CHANGELOG_v3_after_team_answers.md (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/CHANGELOG_v3_after_team_answers.md,,9f124bcc0207b42c87995fa482d30ef773aed302b3e5170e198a2ae06d002f54,9f124bcc0207b42c87995fa482d30ef773aed302b3e5170e198a2ae06d002f54,brand_neutral,fresh_verified,read,claude_v3_handoff_source,read,False,False
kb_release_v3_source_v1,claude_layer_v3:readme,claude_markdown,README.md (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/README.md,,2380f6a254965cb35b4d682c94b4d8f9c592eb1513fa1659b5af28b0a1dbe4f6,2380f6a254965cb35b4d682c94b4d8f9c592eb1513fa1659b5af28b0a1dbe4f6,brand_neutral,document_verified,read,claude_v3_handoff_source,read,False,False
