priority,approval_item_id,item_type,topic,fact_id_ref,brand,product,manager_text,suggested_decision,rop_question,source_id,linked_open_question,risk_notes
P0,approve:fact_v3_foton_academic_year_2026_27_daily_hours_f7d0b7be73,price,01_pricing,fact:v3:foton:academic_year_2026_27_daily_hours:f7d0b7be73,foton,academic_year_2026_27,Фотон: academic year 2026 27 / daily hours — 2 ак.ч.,approve_for_client_answer_after_rop_review,Подтверждаете эту цену и область применения для бота?,claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_academic_year_2026_27_semester_1_weeks_9e0e35a33b,price,01_pricing,fact:v3:foton:academic_year_2026_27_semester_1_weeks:9e0e35a33b,foton,academic_year_2026_27,Фотон: academic year 2026 27 / semester 1 weeks — 20 ₽.,approve_for_client_answer_after_rop_review,Подтверждаете эту цену и область применения для бота?,claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_academic_year_2026_27_semester_2_weeks_426b611f27,price,01_pricing,fact:v3:foton:academic_year_2026_27_semester_2_weeks:426b611f27,foton,academic_year_2026_27,Фотон: academic year 2026 27 / semester 2 weeks — 15 ₽.,approve_for_client_answer_after_rop_review,Подтверждаете эту цену и область применения для бота?,claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_academic_year_2026_27_start_b8e9623d58,price,01_pricing,fact:v3:foton:academic_year_2026_27_start:b8e9623d58,foton,academic_year_2026_27,Фотон: academic year 2026 27 / start — 13-14 сентября 2026.,approve_for_client_answer_after_rop_review,Подтверждаете эту цену и область применения для бота?,claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_academic_year_2026_27_total_lessons_4e93f2f489,price,01_pricing,fact:v3:foton:academic_year_2026_27_total_lessons:4e93f2f489,foton,academic_year_2026_27,Фотон: academic year 2026 27 / total lessons — 35 ₽.,approve_for_client_answer_after_rop_review,Подтверждаете эту цену и область применения для бота?,claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_academic_year_2026_27_weekly_lessons_611b2db503,price,01_pricing,fact:v3:foton:academic_year_2026_27_weekly_lessons:611b2db503,foton,academic_year_2026_27,Фотон: academic year 2026 27 / weekly lessons — 1 ₽.,approve_for_client_answer_after_rop_review,Подтверждаете эту цену и область применения для бота?,claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_individual_lessons_foton_prices_lesson_45min_21e0955d8d,price,01_pricing,fact:v3:foton:individual_lessons_foton_prices_lesson_45min:21e0955d8d,foton,individual_lessons,Фотон: individual lessons foton / prices / lesson 45min — 3 900 ₽.,approve_for_client_answer_after_rop_review,Подтверждаете эту цену и область применения для бота?,claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_individual_lessons_foton_prices_package_5_sessions_47b4347346,price,01_pricing,fact:v3:foton:individual_lessons_foton_prices_package_5_sessions:47b4347346,foton,individual_lessons,Фотон: individual lessons foton / prices / package 5 sessions — 23 000 ₽.,approve_for_client_answer_after_rop_review,Подтверждаете эту цену и область применения для бота?,claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_individual_lessons_foton_prices_session_90min_ffd54df146,price,01_pricing,fact:v3:foton:individual_lessons_foton_prices_session_90min:ffd54df146,foton,individual_lessons,Фотон: individual lessons foton / prices / session 90min — 6 900 ₽.,approve_for_client_answer_after_rop_review,Подтверждаете эту цену и область применения для бота?,claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_intensives_2026_oge_foton_prices_after_2026_04_07_one_block_751faebb8e,price,01_pricing,fact:v3:foton:intensives_2026_oge_foton_prices_after_2026_04_07_one_block:751faebb8e,foton,intensives_2026,Фотон: intensives 2026 / oge foton / prices after 2026 04 07 / one block — 11 490 ₽.,approve_for_client_answer_after_rop_review,Подтверждаете эту цену и область применения для бота?,claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_intensives_2026_oge_foton_prices_after_2026_04_07_one_subject_72e7f517dd,price,01_pricing,fact:v3:foton:intensives_2026_oge_foton_prices_after_2026_04_07_one_subject:72e7f517dd,foton,intensives_2026,Фотон: intensives 2026 / oge foton / prices after 2026 04 07 / one subject — 19 900 ₽.,approve_for_client_answer_after_rop_review,Подтверждаете эту цену и область применения для бота?,claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_intensives_2026_oge_foton_prices_after_2026_04_07_two_subjects_42578fde75,price,01_pricing,fact:v3:foton:intensives_2026_oge_foton_prices_after_2026_04_07_two_subjects:42578fde75,foton,intensives_2026,Фотон: intensives 2026 / oge foton / prices after 2026 04 07 / two subjects — 32 900 ₽.,approve_for_client_answer_after_rop_review,Подтверждаете эту цену и область применения для бота?,claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_intensives_2026_oge_foton_prices_before_2026_04_07_one_block_0bea513e12,price,01_pricing,fact:v3:foton:intensives_2026_oge_foton_prices_before_2026_04_07_one_block:0bea513e12,foton,intensives_2026,Фотон: intensives 2026 / oge foton / prices before 2026 04 07 / one block — 9 900 ₽.,approve_for_client_answer_after_rop_review,Подтверждаете эту цену и область применения для бота?,claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_intensives_2026_oge_foton_prices_before_2026_04_07_one_subject_3d34f8336c,price,01_pricing,fact:v3:foton:intensives_2026_oge_foton_prices_before_2026_04_07_one_subject:3d34f8336c,foton,intensives_2026,Фотон: intensives 2026 / oge foton / prices before 2026 04 07 / one subject — 16 900 ₽.,approve_for_client_answer_after_rop_review,Подтверждаете эту цену и область применения для бота?,claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
