schema_version,fact_id,fact_key,fact_type,fact_types,title,fact_text,short_fact,client_safe_text,manager_check_text,internal_text,brand,active_brand_scope,cross_brand_policy,cross_brand_mixed,product,source_id,source_title,source_path,source_url,source_sha256,source_status,freshness_status,verification_status,structured_value,valid_from,valid_until,verified_by,verified_at,owner_role,allowed_for_client_answer,usable_for_precise_answer,requires_manager_confirmation,requires_amo_check,requires_tallanto_check,route_policy,risk_level,related_theme_ids,linked_open_question,forbidden_promises,forbidden_client_mentions,forbidden_for_client,internal_only,safety_block_reasons,notes,record_type
kb_release_v3_fact_v1,fact:v3:foton:academic_year_2026_27_daily_hours:f7d0b7be73,academic_year_2026_27.daily_hours,price,"[""price""]",academic year 2026 27 / daily hours,Фотон: academic year 2026 27 / daily hours — 2 ак.ч.,academic year 2026 27 / daily hours,Фотон: academic year 2026 27 / daily hours — 2 ак.ч.,Фотон: academic year 2026 27 / daily hours — 2 ак.ч.,,foton,foton_bot,active_brand_only,False,academic_year_2026_27,claude_layer_v3:facts_for_bot_FOTON,facts_for_bot_FOTON.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/facts_for_bot_FOTON.yaml,,3f581c47ce6efbb3e08bcbf88e34743cbcf257f9001b6ddc203801d614dded1d,read,document_verified,verified,"{""amount"": 2, ""currency"": ""RUB"", ""path"": ""academic_year_2026_27.daily_hours"", ""period"": ""year"", ""raw_value"": ""2 ак.ч""}",,,,,РОП/бухгалтерия,True,True,False,False,False,bot_answer_self_for_pilot,low,"[""theme:001_pricing""]",,"[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,[],Импортировано из Claude v3 handoff.,fact
kb_release_v3_fact_v1,fact:v3:foton:academic_year_2026_27_semester_1_weeks:9e0e35a33b,academic_year_2026_27.semester_1_weeks,price,"[""price""]",academic year 2026 27 / semester 1 weeks,Фотон: academic year 2026 27 / semester 1 weeks — 20 ₽.,academic year 2026 27 / semester 1 weeks,Фотон: academic year 2026 27 / semester 1 weeks — 20 ₽.,Фотон: academic year 2026 27 / semester 1 weeks — 20 ₽.,,foton,foton_bot,active_brand_only,False,academic_year_2026_27,claude_layer_v3:facts_for_bot_FOTON,facts_for_bot_FOTON.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/facts_for_bot_FOTON.yaml,,3f581c47ce6efbb3e08bcbf88e34743cbcf257f9001b6ddc203801d614dded1d,read,document_verified,verified,"{""amount"": 20, ""currency"": ""RUB"", ""path"": ""academic_year_2026_27.semester_1_weeks"", ""period"": ""semester"", ""raw_value"": 20}",,,,,РОП/бухгалтерия,True,True,False,False,False,bot_answer_self_for_pilot,low,"[""theme:001_pricing""]",,"[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,[],Импортировано из Claude v3 handoff.,fact
kb_release_v3_fact_v1,fact:v3:foton:academic_year_2026_27_semester_2_weeks:426b611f27,academic_year_2026_27.semester_2_weeks,price,"[""price""]",academic year 2026 27 / semester 2 weeks,Фотон: academic year 2026 27 / semester 2 weeks — 15 ₽.,academic year 2026 27 / semester 2 weeks,Фотон: academic year 2026 27 / semester 2 weeks — 15 ₽.,Фотон: academic year 2026 27 / semester 2 weeks — 15 ₽.,,foton,foton_bot,active_brand_only,False,academic_year_2026_27,claude_layer_v3:facts_for_bot_FOTON,facts_for_bot_FOTON.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/facts_for_bot_FOTON.yaml,,3f581c47ce6efbb3e08bcbf88e34743cbcf257f9001b6ddc203801d614dded1d,read,document_verified,verified,"{""amount"": 15, ""currency"": ""RUB"", ""path"": ""academic_year_2026_27.semester_2_weeks"", ""period"": ""semester"", ""raw_value"": 15}",,,,,РОП/бухгалтерия,True,True,False,False,False,bot_answer_self_for_pilot,low,"[""theme:001_pricing""]",,"[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,[],Импортировано из Claude v3 handoff.,fact
kb_release_v3_fact_v1,fact:v3:foton:academic_year_2026_27_start:b8e9623d58,academic_year_2026_27.start,price,"[""price""]",academic year 2026 27 / start,Фотон: academic year 2026 27 / start — 13-14 сентября 2026.,academic year 2026 27 / start,Фотон: academic year 2026 27 / start — 13-14 сентября 2026.,Фотон: academic year 2026 27 / start — 13-14 сентября 2026.,,foton,foton_bot,active_brand_only,False,academic_year_2026_27,claude_layer_v3:facts_for_bot_FOTON,facts_for_bot_FOTON.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/facts_for_bot_FOTON.yaml,,3f581c47ce6efbb3e08bcbf88e34743cbcf257f9001b6ddc203801d614dded1d,read,document_verified,verified,"{""amount"": 13, ""currency"": ""RUB"", ""path"": ""academic_year_2026_27.start"", ""period"": ""year"", ""raw_value"": ""13-14 сентября 2026""}",,,,,РОП/бухгалтерия,True,True,False,False,False,bot_answer_self_for_pilot,low,"[""theme:001_pricing""]",,"[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,[],Импортировано из Claude v3 handoff.,fact
kb_release_v3_fact_v1,fact:v3:foton:academic_year_2026_27_total_lessons:4e93f2f489,academic_year_2026_27.total_lessons,price,"[""price""]",academic year 2026 27 / total lessons,Фотон: academic year 2026 27 / total lessons — 35 ₽.,academic year 2026 27 / total lessons,Фотон: academic year 2026 27 / total lessons — 35 ₽.,Фотон: academic year 2026 27 / total lessons — 35 ₽.,,foton,foton_bot,active_brand_only,False,academic_year_2026_27,claude_layer_v3:facts_for_bot_FOTON,facts_for_bot_FOTON.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/facts_for_bot_FOTON.yaml,,3f581c47ce6efbb3e08bcbf88e34743cbcf257f9001b6ddc203801d614dded1d,read,document_verified,verified,"{""amount"": 35, ""currency"": ""RUB"", ""path"": ""academic_year_2026_27.total_lessons"", ""period"": ""year"", ""raw_value"": 35}",,,,,РОП/бухгалтерия,True,True,False,False,False,bot_answer_self_for_pilot,low,"[""theme:001_pricing""]",,"[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,[],Импортировано из Claude v3 handoff.,fact
kb_release_v3_fact_v1,fact:v3:foton:academic_year_2026_27_weekly_lessons:611b2db503,academic_year_2026_27.weekly_lessons,price,"[""price""]",academic year 2026 27 / weekly lessons,Фотон: academic year 2026 27 / weekly lessons — 1 ₽.,academic year 2026 27 / weekly lessons,Фотон: academic year 2026 27 / weekly lessons — 1 ₽.,Фотон: academic year 2026 27 / weekly lessons — 1 ₽.,,foton,foton_bot,active_brand_only,False,academic_year_2026_27,claude_layer_v3:facts_for_bot_FOTON,facts_for_bot_FOTON.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/facts_for_bot_FOTON.yaml,,3f581c47ce6efbb3e08bcbf88e34743cbcf257f9001b6ddc203801d614dded1d,read,document_verified,verified,"{""amount"": 1, ""currency"": ""RUB"", ""path"": ""academic_year_2026_27.weekly_lessons"", ""period"": ""year"", ""raw_value"": 1}",,,,,РОП/бухгалтерия,True,True,False,False,False,bot_answer_self_for_pilot,low,"[""theme:001_pricing""]",,"[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,[],Импортировано из Claude v3 handoff.,fact
kb_release_v3_fact_v1,fact:v3:foton:brand_rules_approved_brand_relationship_answer_foton:dcd03f90c3,brand_rules.approved_brand_relationship_answer.foton,policy,"[""policy""]",brand rules / approved brand relationship answer / foton,"Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.",brand rules / approved brand relationship answer / foton,"Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.","Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.",,foton,foton_bot,active_brand_only,False,brand_relationship,claude_layer_v3:brand_rules,brand_rules.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/brand_rules.yaml,,19d9c7ff4f9ed7e91222399e5a6756ca37225dbdfe2c4db5692574c777689a2f,read,document_verified,verified,{},,,,,РОП/ответственный владелец факта,True,True,False,False,False,bot_answer_self_for_pilot,medium,"[""theme:000_policy""]",q3_closed,"[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,[],Импортировано из Claude v3 handoff.,fact
kb_release_v3_fact_v1,fact:v3:foton:certificates_client_safe_text_when_asked:4e607d8ea8,certificates.client_safe_text.when_asked,documents,"[""documents""]",certificates / client safe text / when asked,Менеджер подготовит справку и пришлёт в течение 3 рабочих дней. Подскажите тип справки (работа / налоговая / иное) — это ускорит подготовку.,certificates / client safe text / when asked,,"Менеджер подготовит справку и пришлёт в течение 3 рабочих дней. Подскажите тип справки (работа / налоговая / иное) — это ускорит подготовку. [client_blocked: internal_only, manager_only_route, stale_certificate_phrase:3 рабочих дней, stale_certificate_phrase:работа / налоговая / иное, stale_certificate_phrase:тип справки]",Менеджер подготовит справку и пришлёт в течение 3 рабочих дней. Подскажите тип справки (работа / налоговая / иное) — это ускорит подготовку.,foton,internal_only,forbidden_for_client,False,certificates,claude_layer_v3:facts_for_bot_FOTON,facts_for_bot_FOTON.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/facts_for_bot_FOTON.yaml,,3f581c47ce6efbb3e08bcbf88e34743cbcf257f9001b6ddc203801d614dded1d,read,document_verified,verified,"{""number"": 3, ""path"": ""certificates.client_safe_text.when_asked"", ""raw_value"": ""Менеджер подготовит справку и пришлёт в течение 3 рабочих дней. Подскажите тип справки (работа / налоговая / иное) — это ускорит подготовку.""}",,,,,Бухгалтерия/операционный менеджер,False,False,True,False,False,manager_handoff_only,medium,"[""theme:012_certificates""]",,"[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",True,True,"[""internal_only"", ""manager_only_route"", ""stale_certificate_phrase:3 рабочих дней"", ""stale_certificate_phrase:работа / налоговая / иное"", ""stale_certificate_phrase:тип справки""]",Импортировано из Claude v3 handoff. Перед клиентским использованием нужна проверка менеджером/РОПом.,fact
kb_release_v3_fact_v1,fact:v3:foton:certificates_types_course_attendance_form:163d7bd5dc,certificates.types.course_attendance.form,documents,"[""documents""]",certificates / types / course attendance / form,Фотон: certificates / types / course attendance / form — Свободная форма.,certificates / types / course attendance / form,Фотон: certificates / types / course attendance / form — Свободная форма.,Фотон: certificates / types / course attendance / form — Свободная форма.,,foton,foton_bot,active_brand_only,False,certificates,claude_layer_v3:facts_for_bot_FOTON,facts_for_bot_FOTON.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/facts_for_bot_FOTON.yaml,,3f581c47ce6efbb3e08bcbf88e34743cbcf257f9001b6ddc203801d614dded1d,read,document_verified,verified,"{""path"": ""certificates.types.course_attendance.form"", ""raw_value"": ""Свободная форма""}",,,,,Бухгалтерия/операционный менеджер,True,True,False,False,False,bot_answer_self_for_pilot,medium,"[""theme:012_certificates""]",,"[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",False,False,[],Импортировано из Claude v3 handoff.,fact
kb_release_v3_fact_v1,fact:v3:foton:certificates_types_course_attendance_lead_time_days:00795380fb,certificates.types.course_attendance.lead_time_days,documents,"[""documents""]",certificates / types / course attendance / lead time days,Фотон: certificates / types / course attendance / lead time days — 3.,certificates / types / course attendance / lead time days,,"Фотон: certificates / types / course attendance / lead time days — 3. [client_blocked: internal_only, manager_only_route]",Фотон: certificates / types / course attendance / lead time days — 3.,foton,internal_only,forbidden_for_client,False,certificates,claude_layer_v3:facts_for_bot_FOTON,facts_for_bot_FOTON.yaml (Claude layer v3),/Users/dmitrijfabarisov/Projects/Mango analyse/claude_to_codex_v3_handoff_2026-05-17/facts_for_bot_FOTON.yaml,,3f581c47ce6efbb3e08bcbf88e34743cbcf257f9001b6ddc203801d614dded1d,read,document_verified,verified,"{""days"": 3, ""path"": ""certificates.types.course_attendance.lead_time_days"", ""raw_value"": 3}",,,,,Бухгалтерия/операционный менеджер,False,False,True,False,False,manager_handoff_only,medium,"[""theme:012_certificates""]",,"[""Не обещать условия вне утвержденного факта.""]","[""УНПК"", ""АНО ДПО"", ""НОУ УНПК"", ""kmipt.ru"", ""@unpk_mipt""]",True,True,"[""internal_only"", ""manager_only_route""]",Импортировано из Claude v3 handoff. Перед клиентским использованием нужна проверка менеджером/РОПом.,fact
