priority,approval_item_id,item_type,topic,fact_id_ref,brand,product,manager_text,suggested_decision,rop_question,source_id,linked_open_question,risk_notes
P0,approve:fact_v3_foton_individual_lessons_foton_prices_lesson_45min_21e0955d8d,price,01_pricing,fact:v3:foton:individual_lessons_foton_prices_lesson_45min:21e0955d8d,foton,individual_lessons,"Фотон: индивидуальные занятия, занятие 45 минут — 3 900 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, individual lessons? Факт: Фотон: индивидуальные занятия, занятие 45 минут — 3 900 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_individual_lessons_foton_prices_package_5_sessions_47b4347346,price,01_pricing,fact:v3:foton:individual_lessons_foton_prices_package_5_sessions:47b4347346,foton,individual_lessons,"Фотон: индивидуальные занятия, пакет 5 занятий — 23 000 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, individual lessons? Факт: Фотон: индивидуальные занятия, пакет 5 занятий — 23 000 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_individual_lessons_foton_prices_session_90min_ffd54df146,price,01_pricing,fact:v3:foton:individual_lessons_foton_prices_session_90min:ffd54df146,foton,individual_lessons,"Фотон: индивидуальные занятия, занятие 90 минут — 6 900 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, individual lessons? Факт: Фотон: индивидуальные занятия, занятие 90 минут — 6 900 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_ls_city_2026_foton_free_morning_club_cost_0105184e59,price,01_pricing,fact:v3:foton:ls_city_2026_foton_free_morning_club_cost:0105184e59,foton,city_camp_2026,Фотон: городской летний лагерь — полностью бесплатно.,approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, city camp 2026? Факт: Фотон: городской летний лагерь — полностью бесплатно.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_ls_city_2026_foton_moscow_foton_prices_base_007eac865b,price,01_pricing,fact:v3:foton:ls_city_2026_foton_moscow_foton_prices_base:007eac865b,foton,city_camp_2026,"Фотон: городской летний лагерь, Москва, базовый вариант — 34 300 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, city camp 2026? Факт: Фотон: городской летний лагерь, Москва, базовый вариант — 34 300 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_ls_city_2026_foton_moscow_foton_prices_plus_full_217cf635c1,price,01_pricing,fact:v3:foton:ls_city_2026_foton_moscow_foton_prices_plus_full:217cf635c1,foton,city_camp_2026,"Фотон: городской летний лагерь, Москва, расширенный вариант на полный день — 59 000 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, city camp 2026? Факт: Фотон: городской летний лагерь, Москва, расширенный вариант на полный день — 59 000 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_ls_city_2026_foton_moscow_foton_prices_plus_half_ed61139fb9,price,01_pricing,fact:v3:foton:ls_city_2026_foton_moscow_foton_prices_plus_half:ed61139fb9,foton,city_camp_2026,"Фотон: городской летний лагерь, Москва, расширенный вариант на полдня — 49 000 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, city camp 2026? Факт: Фотон: городской летний лагерь, Москва, расширенный вариант на полдня — 49 000 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_early_booking_2026_27_benefit_a08fab92e3,price,01_pricing,fact:v3:foton:prices_regular_2026_27_early_booking_2026_27_benefit:a08fab92e3,foton,regular_courses_2026_27,Фотон: цены на 2026/27 учебный год — Зафиксировать цену + выбрать день недели.,approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год — Зафиксировать цену + выбрать день недели.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_early_booking_2026_27_description_2951748851,price,01_pricing,fact:v3:foton:prices_regular_2026_27_early_booking_2026_27_description:2951748851,foton,regular_courses_2026_27,Фотон: цены на 2026/27 учебный год — Раннее бронирование для действующих учеников Фотона.,approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год — Раннее бронирование для действующих учеников Фотона.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
P0,approve:fact_v3_foton_prices_regular_2026_27_early_booking_2026_27_online_5_11_semester_6a645a3305,price,01_pricing,fact:v3:foton:prices_regular_2026_27_early_booking_2026_27_online_5_11_semester:6a645a3305,foton,regular_courses_2026_27,"Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн — 29 750 ₽.",approve_for_client_answer_after_rop_review,"Подтверждаете цену, период действия и область применения: Фотон, regular courses 2026 27? Факт: Фотон: цены на 2026/27 учебный год, 5-11 класс, онлайн — 29 750 ₽.",claude_layer_v3:facts_for_bot_FOTON,,Импортировано из Claude v3 handoff.
