brand,fact_type,route_policy,risk_level,client_safe_text,manager_display_text,manager_check_text,source_title,freshness_status,valid_until,freshness_check_date,fact_id
foton,course_parameter,draft_for_manager,low,"Фотон: учебный год 2026/27, длительность занятия — 2 ак.ч.","Фотон: учебный год 2026/27, длительность занятия — 2 ак.ч.","Фотон: учебный год 2026/27, длительность занятия — 2 ак.ч.",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-03,fact:v3:foton:academic_year_2026_27_daily_hours:f7d0b7be73
foton,course_parameter,draft_for_manager,low,Фотон: в первом семестре 2026/27 учебного года 20 недель.,Фотон: в первом семестре 2026/27 учебного года 20 недель.,Фотон: в первом семестре 2026/27 учебного года 20 недель.,facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-03,fact:v3:foton:academic_year_2026_27_semester_1_weeks:9e0e35a33b
foton,course_parameter,draft_for_manager,low,Фотон: во втором семестре 2026/27 учебного года 15 недель.,Фотон: во втором семестре 2026/27 учебного года 15 недель.,Фотон: во втором семестре 2026/27 учебного года 15 недель.,facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-03,fact:v3:foton:academic_year_2026_27_semester_2_weeks:426b611f27
foton,course_parameter,draft_for_manager,low,"Фотон: учебный год 2026/27, старт занятий — 12-20 сентября 2026 в зависимости от формата.","Фотон: учебный год 2026/27, старт занятий — 12-20 сентября 2026 в зависимости от формата.","Фотон: учебный год 2026/27, старт занятий — 12-20 сентября 2026 в зависимости от формата.",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-03,fact:v3:foton:academic_year_2026_27_start:1b2531b67a
foton,course_parameter,draft_for_manager,low,"Фотон: учебный год 2026/27, Москва — 12-13 сентября 2026.","Фотон: учебный год 2026/27, Москва — 12-13 сентября 2026.","Фотон: учебный год 2026/27, Москва — 12-13 сентября 2026.",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-03,fact:v3:foton:academic_year_2026_27_start_by_location_moscow:fd75446b71
foton,course_parameter,draft_for_manager,low,"Фотон: учебный год 2026/27, онлайн — 19-20 сентября 2026.","Фотон: учебный год 2026/27, онлайн — 19-20 сентября 2026.","Фотон: учебный год 2026/27, онлайн — 19-20 сентября 2026.",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-03,fact:v3:foton:academic_year_2026_27_start_by_location_online:a9d4c65225
foton,course_parameter,draft_for_manager,low,"Фотон: учебный год 2026/27, количество занятий за год — 35 занятий.","Фотон: учебный год 2026/27, количество занятий за год — 35 занятий.","Фотон: учебный год 2026/27, количество занятий за год — 35 занятий.",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-03,fact:v3:foton:academic_year_2026_27_total_lessons:4e93f2f489
foton,course_parameter,draft_for_manager,low,Фотон: в учебном году 2026/27 занятия проходят 1 раз в неделю.,Фотон: в учебном году 2026/27 занятия проходят 1 раз в неделю.,Фотон: в учебном году 2026/27 занятия проходят 1 раз в неделю.,facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-03,fact:v3:foton:academic_year_2026_27_weekly_lessons:bf5fdd2e0d
foton,policy,bot_answer_self_for_pilot,medium,"Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.","Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.","Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.",brand_rules.yaml (Claude layer v3),document_verified,2026-12-31,2026-06-03,fact:v3:foton:brand_rules_approved_brand_relationship_answer_foton:dcd03f90c3
foton,documents,bot_answer_self_for_pilot,medium,Фотон: справки и документы — Свободная форма.,Фотон: справки и документы — Свободная форма.,Фотон: справки и документы — Свободная форма.,facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-12-31,2026-06-03,fact:v3:foton:certificates_types_course_attendance_form:163d7bd5dc
foton,discount,bot_answer_self_for_pilot,low,"Фотон: для городского летнего лагеря действует скидка 10% для семей, уже оплативших обучение на 2026/27 год.","Фотон: для городского летнего лагеря действует скидка 10% для семей, уже оплативших обучение на 2026/27 год.","Фотон: для городского летнего лагеря действует скидка 10% для семей, уже оплативших обучение на 2026/27 год.",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-08-31,2026-06-03,fact:v3:foton:ls_city_2026_foton_discounts_already_paid_2026_27:ad915e2f2e
foton,discount,bot_answer_self_for_pilot,low,"Фотон: для городского летнего лагеря действует скидка 5% для учеников, которые ранее учились в этом же учебном центре.","Фотон: для городского летнего лагеря действует скидка 5% для учеников, которые ранее учились в этом же учебном центре.","Фотон: для городского летнего лагеря действует скидка 5% для учеников, которые ранее учились в этом же учебном центре.",facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-08-31,2026-06-03,fact:v3:foton:ls_city_2026_foton_discounts_former_student_same_brand:bd35ecad25
foton,discount,bot_answer_self_for_pilot,low,Фотон: для городского летнего лагеря действует скидка 10% для многодетных семей.,Фотон: для городского летнего лагеря действует скидка 10% для многодетных семей.,Фотон: для городского летнего лагеря действует скидка 10% для многодетных семей.,facts_for_bot_FOTON.yaml (Claude layer v3),document_verified,2026-08-31,2026-06-03,fact:v3:foton:ls_city_2026_foton_discounts_multichild:d444470032
