brand,fact_type,route_policy,risk_level,client_safe_text,manager_display_text,manager_check_text,source_title,freshness_status,valid_until,freshness_check_date,fact_id
unpk,course_parameter,draft_for_manager,low,УНПК: в первом семестре 2026/27 учебного года 20 недель.,УНПК: в первом семестре 2026/27 учебного года 20 недель.,УНПК: в первом семестре 2026/27 учебного года 20 недель.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-11,fact:v3:unpk:academic_year_2026_27_semester_1_weeks:3ad9021e33
unpk,course_parameter,draft_for_manager,low,УНПК: во втором семестре 2026/27 учебного года 15 недель.,УНПК: во втором семестре 2026/27 учебного года 15 недель.,УНПК: во втором семестре 2026/27 учебного года 15 недель.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-11,fact:v3:unpk:academic_year_2026_27_semester_2_weeks:54d70ef4e2
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, старт занятий — 12-27 сентября 2026 в зависимости от площадки.","УНПК: учебный год 2026/27, старт занятий — 12-27 сентября 2026 в зависимости от площадки.","УНПК: учебный год 2026/27, старт занятий — 12-27 сентября 2026 в зависимости от площадки.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-11,fact:v3:unpk:academic_year_2026_27_start:68812d0d30
unpk,course_parameter,draft_for_manager,low,УНПК: учебный год 2026/27 — 20 сентября 2026.,УНПК: учебный год 2026/27 — 20 сентября 2026.,УНПК: учебный год 2026/27 — 20 сентября 2026.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-11,fact:v3:unpk:academic_year_2026_27_start_by_location_mfti_institutsky_9:c9b8640bfb
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, Москва — 12-13 сентября 2026.","УНПК: учебный год 2026/27, Москва — 12-13 сентября 2026.","УНПК: учебный год 2026/27, Москва — 12-13 сентября 2026.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-11,fact:v3:unpk:academic_year_2026_27_start_by_location_moscow:34d08ff66d
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, онлайн — 19-20 сентября 2026.","УНПК: учебный год 2026/27, онлайн — 19-20 сентября 2026.","УНПК: учебный год 2026/27, онлайн — 19-20 сентября 2026.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-11,fact:v3:unpk:academic_year_2026_27_start_by_location_online:dfd01fcc6e
unpk,course_parameter,draft_for_manager,low,УНПК: учебный год 2026/27 — 26-27 сентября 2026.,УНПК: учебный год 2026/27 — 26-27 сентября 2026.,УНПК: учебный год 2026/27 — 26-27 сентября 2026.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-11,fact:v3:unpk:academic_year_2026_27_start_by_location_patsayeva:22eaf98d78
unpk,course_parameter,draft_for_manager,low,"УНПК: учебный год 2026/27, количество занятий за год — 35 занятий.","УНПК: учебный год 2026/27, количество занятий за год — 35 занятий.","УНПК: учебный год 2026/27, количество занятий за год — 35 занятий.",facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2027-08-31,2026-06-11,fact:v3:unpk:academic_year_2026_27_total_lessons:1b5921ba8a
unpk,policy,bot_answer_self_for_pilot,medium,"Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.","Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.","Это отдельные организации, по вашему вопросу сориентирую в рамках текущего учебного центра.",brand_rules.yaml (Claude layer v3),document_verified,2026-12-31,2026-06-11,fact:v3:unpk:brand_rules_approved_brand_relationship_answer_unpk:7477839d25
unpk,documents,bot_answer_self_for_pilot,medium,УНПК: справки и документы — Свободная форма.,УНПК: справки и документы — Свободная форма.,УНПК: справки и документы — Свободная форма.,facts_for_bot_UNPK.yaml (Claude layer v3),document_verified,2026-12-31,2026-06-11,fact:v3:unpk:certificates_types_course_attendance_form:f6e6bbf987
