fact_id,brand,fact_type,product,client_safe_text,risk_level,freshness_status,valid_from,valid_until,bot_template_required,usage_mode,refresh_before_launch
fact:v3:foton:owner_2026_08_13_foton_lvsh_2027_august_dates:278a02b19b,foton,camp_lvsh,lvsh_2027,"Фотон: ЛВШ 2027, августовская смена — 14-22 августа 2027 года.",low,document_verified,2026-08-13,2027-08-22,False,answer_source,False
fact:v3:foton:owner_2026_08_13_foton_lvsh_2027_june_dates:5000fa6c06,foton,camp_lvsh,lvsh_2027,"Фотон: ЛВШ 2027, июньская смена — 20-30 июня 2027 года.",low,document_verified,2026-08-13,2027-06-30,False,answer_source,False
fact:v3:foton:contacts_foton_contact_hours_client_safe_text:c8fcd32d63,foton,contact,contacts_foton,Фотон: актуальные часы связи проверьте на официальной странице контактов; по будням и выходным они могут отличаться.,low,document_verified,,2026-12-31,False,manager_review_required,True
fact:v3:foton:contacts_foton_email:a841aacae0,foton,contact,contacts_foton,Фотон: контакты — edu@cdpofoton.ru.,low,document_verified,,2026-12-31,False,manager_review_required,True
fact:v3:foton:contacts_foton_phone:5f5b1d33cf,foton,contact,contacts_foton,Фотон: контакты — 8 (495) 500-25-88.,low,document_verified,,2026-12-31,False,manager_review_required,True
fact:v3:foton:contacts_foton_telegram:d218deb94f,foton,contact,contacts_foton,Фотон: контакты — @cdpoFoton.,low,document_verified,,2026-12-31,False,manager_review_required,True
fact:v3:foton:contacts_foton_toll_free:c9188d5d4e,foton,contact,contacts_foton,Фотон: контакты — 8 (800) 550-25-88.,low,document_verified,,2026-12-31,False,manager_review_required,True
fact:v3:foton:contacts_foton_vk:5dc687857e,foton,contact,contacts_foton,Фотон: контакты — vk.ru/foton_edu.,low,document_verified,,2026-12-31,False,manager_review_required,True
fact:v3:foton:contacts_foton_website:c60aa67ca9,foton,contact,contacts_foton,Фотон: контакты — cdpofoton.ru.,low,document_verified,,2026-12-31,False,manager_review_required,True
fact:v3:foton:contacts_foton_whatsapp:3c3fb97db4,foton,contact,contacts_foton,Фотон: контакты — +7 925 500 25 88.,low,document_verified,,2026-12-31,False,manager_review_required,True
fact:v3:foton:processes_2026_06_10_foton_contact_channels:44ce85b3ed,foton,contacts,customer_processes_2026_06_10,"Писать можно в этот чат, на почту edu@cdpofoton.ru, в Telegram @cdpoFoton или Max https://max.ru/u/f9LHodD0cOLwNT41ZnvrqFpeEYPjPaighujNZKxMVIQuUgR-6ITFlmHzB74. Телефон центра: 8 (495) 500-25-88.",low,document_verified,,2026-12-31,False,answer_source,True
fact:v3:foton:academic_year_2026_27_semester_1_weeks:9e0e35a33b,foton,course_parameter,academic_year_2026_27,Фотон: в первом семестре 2026/27 учебного года 20 недель.,low,document_verified,,2027-08-31,False,manager_review_required,False
fact:v3:foton:academic_year_2026_27_semester_2_weeks:426b611f27,foton,course_parameter,academic_year_2026_27,Фотон: во втором семестре 2026/27 учебного года 15 недель.,low,document_verified,,2027-08-31,False,manager_review_required,False
fact:v3:foton:academic_year_2026_27_start:1b2531b67a,foton,course_parameter,academic_year_2026_27,"Фотон: учебный год 2026/27, старт занятий — 12-20 сентября 2026 в зависимости от формата.",low,document_verified,,2027-08-31,False,manager_review_required,False
fact:v3:foton:academic_year_2026_27_start_by_location_moscow:fd75446b71,foton,course_parameter,academic_year_2026_27,"Фотон: учебный год 2026/27, Москва — 12-13 сентября 2026.",low,document_verified,,2027-08-31,False,manager_review_required,False
