эффективная_цена	остаток_уточненный	разница_к_прайсу_%	статус_цены	стоимости_абонементов	скидки_абонементов	комментарий_проверки_цены	abonement_ids
41895	0	0.55	оплачено			Оплата покрывает персональную цену	
73500	0	0.2105	оплачено со скидкой/ранним бронированием	73500	13500	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	4544ef24-4641-e8ea-7827-696753ebc67b
79135	0	0.15	оплачено со скидкой/ранним бронированием	79135	7865	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	9e0183e9-4d15-8041-c9f8-69a7f6316502
86583	0	0.07	оплачено со скидкой/ранним бронированием	86583	417	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	64367812-74c9-fe18-3c8b-69e1254bb70a
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	30998d08-30fe-0b56-e176-69b69d0f7f7f
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	6c5f94a8-305c-bb2a-b23f-69c63ced5e68
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	4f07e948-cd1e-cbd0-616d-6a0c5e030082
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	42ac681d-8a21-40b2-89e9-69ff2ad19d98
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	310608a0-aaf2-4cd9-3c3f-69e877e97082
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	64821df8-1d60-d0a4-5f2d-69e876ff6791
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	3825eee7-d6ad-4eed-a258-69c632e68a75
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	1ff4491f-db7f-f4fd-ae66-696753dc230c
93100	0	0	оплачено со скидкой/ранним бронированием			Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	1408cea4-1806-2e3a-9e97-696753087488
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	82a524d3-8acb-4721-76b1-69c39e9cdd0a
82026	0	0.1189	оплачено со скидкой/ранним бронированием	82026	4974	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	5f7ca1c0-de44-8145-bfaf-69c63175b516
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	37fcd677-5c02-ec60-18a4-69be85df53a3
