id,date_payment,direction,direction_translated,type,type_translated,cost,name,description,contact_id,most_abonements_id,most_class_id,invoice_id,filial,tags,account_id,account_name,print_check_status,print_refund_status
536d15d8-863c-fdfd-d8e0-68baa9ab49cb,2025-09-04,in,Поступление на баланс,alfabank,Альфа-банк,78400,ЗВШ,,64a4b0bd-0bc6-91af-2e46-683857209ce0,57a67de4-18c9-613a-827d-68cbee1dc368,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
82f661c8-0863-feca-66c2-68baa8edf7a2,2025-09-04,in,Поступление на баланс,sbp,СБП,69900,ЗВШ,,83ec01b9-9553-2aa1-4c2b-661fdc8b013b,96a5fef3-9d3f-a335-8d96-68cbef54160f,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
c8964de5-a30c-d74b-b1e0-68baaac8380d,2025-09-04,in,Поступление на баланс,alfabank,Альфа-банк,78400,ЗВШ,,7b9fc076-8ce7-4f88-8bcd-68b7f7f01da7,477cc91d-087a-7738-fb78-68cbee890c27,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
de502e79-b084-b430-6573-68c000e2bb6d,2025-09-05,in,Поступление на баланс,sbp,СБП,62910,ЗВШ,,b9919092-133c-d8e3-6758-64842225b30b,7edd1ec6-fe64-6fb2-1be4-68cbf1382cf2,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
dfc22acb-25d3-813a-2fa3-68bbf66ba9f4,2025-09-06,in,Поступление на баланс,other,Другой,-5000,кешбэк,,bee75b11-3558-1d64-1f10-6561b8652fca,,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
b3c17735-8ef7-92b1-1699-68c3fcd86eae,2025-09-11,in,Поступление на баланс,other,Другой,-5000,Кешбэк,,622ebc8f-8718-7073-e27f-6665805dcba5,,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
adfc0c37-4044-9975-ef18-68c933bfb2bf,2025-09-15,in,Поступление на баланс,alfabank,Альфа-банк,78400,ЗВШ,,ec3f88cf-75d2-c952-0a04-68c279a5c588,eb100da4-b130-7e70-5af1-68cbee925b1b,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
bbb4c3fe-5c11-1c6a-14ef-68c7d2bfeda8,2025-09-15,in,Поступление на баланс,other,Другой,93100,Возвращение оставшихся средств за абонемент ЛВШ,,be25c484-1d94-10db-ee4e-6894487d519c,f1b611f0-f772-b9cd-cec0-68c7d2893cf1,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
c3198782-7fb3-587d-2326-68c7d2a0ce5f,2025-09-15,school_out,Расход,other,Другой,93100,Возвращение оставшихся средств за абонемент ЛВШ,,,1d7dce35-173f-0d98-f6e7-689c9a92f754,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
f2164576-2359-338a-f220-68c7d25a3751,2025-09-15,out,Списание в счет школы,webmoney,Webmoney,46550,Покупка абонемента ЛВШ,,be25c484-1d94-10db-ee4e-6894487d519c,f1b611f0-f772-b9cd-cec0-68c7d2893cf1,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
3e1971d2-1efb-c9d7-328b-68ca638e5897,2025-09-16,in,Поступление на баланс,alfabank,Альфа-банк,74480,ЗВШ,,3e95012a-80c6-11d8-5fc3-67adc739b638,36462a78-c4b5-c407-3d9b-68cbeff1319a,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
345d8731-cb62-3955-4c2f-68cbef9db6fe,2025-09-18,out,Списание в счет школы,alfabank,Альфа-банк,69900,Покупка абонемента ЗВШ,,377d0f11-35b9-451d-49b3-677d047a92f3,33dba25c-1d5f-5869-499e-68cbef7b608a,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
36b5ef78-c212-5d37-a737-68cbef60573c,2025-09-18,out,Списание в счет школы,alfabank,Альфа-банк,74480,Покупка абонемента ЗВШ,,3e95012a-80c6-11d8-5fc3-67adc739b638,36462a78-c4b5-c407-3d9b-68cbeff1319a,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
403413e7-59ce-8fde-e285-68cbf07ad8ae,2025-09-18,out,Списание в счет школы,sbp,СБП,69900,Покупка абонемента ЗВШ,,b4e6e269-b837-536e-94c6-689c3bff72b8,3fbd7e00-e0a5-88e0-232c-68cbf0f9b26a,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
47e6d71e-1766-7b0f-3c68-68cbeecd49af,2025-09-18,out,Списание в счет школы,alfabank,Альфа-банк,78400,Покупка абонемента ЗВШ,,7b9fc076-8ce7-4f88-8bcd-68b7f7f01da7,477cc91d-087a-7738-fb78-68cbee890c27,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
4ed6f2ef-fe2d-0336-c389-68cbf04c60f5,2025-09-18,out,Списание в счет школы,alfabank,Альфа-банк,66405,Покупка абонемента ЗВШ,,dc3fdfd8-a5ce-f531-f3cc-660d13d8b9e3,4e63b3ac-1b81-cc17-2088-68cbf0d49c5b,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
57a3a4e4-266c-3d8c-9e4c-68cbef2ab271,2025-09-18,out,Списание в счет школы,sbp,СБП,69900,Покупка абонемента ЗВШ,,1e28aa1e-114d-3cea-c4d3-67a9c881cb78,5730ef47-3c95-8796-0616-68cbeff3a5ce,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
5814a95f-6b93-c85f-75ce-68cbee8178f0,2025-09-18,out,Списание в счет школы,alfabank,Альфа-банк,78400,Покупка абонемента ЗВШ,,64a4b0bd-0bc6-91af-2e46-683857209ce0,57a67de4-18c9-613a-827d-68cbee1dc368,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
5a9dadec-a726-9753-b81a-68cbf0411708,2025-09-18,out,Списание в счет школы,sbp,СБП,69900,Покупка абонемента ЗВШ,,b55126d7-6e54-3774-023d-6479ca356c0a,5a317cb6-4859-a3ba-6cf7-68cbf031f252,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
64bc845c-c015-b78e-c228-68cbf03afa3b,2025-09-18,out,Списание в счет школы,alfabank,Альфа-банк,69900,Покупка абонемента ЗВШ,,97e67fc6-be51-032a-bb83-68960c8a8436,644c5424-26a2-afaf-5402-68cbf007137c,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
7f4f8867-3173-caf2-f9ef-68cbf1863370,2025-09-18,out,Списание в счет школы,sbp,СБП,62910,Покупка абонемента ЗВШ,,b9919092-133c-d8e3-6758-64842225b30b,7edd1ec6-fe64-6fb2-1be4-68cbf1382cf2,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
9715d9c8-9370-68fb-94f5-68cbef89a1e3,2025-09-18,out,Списание в счет школы,sbp,СБП,69900,Покупка абонемента ЗВШ,,83ec01b9-9553-2aa1-4c2b-661fdc8b013b,96a5fef3-9d3f-a335-8d96-68cbef54160f,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
b64a0567-b2d2-7957-8a0f-68cbef6711a1,2025-09-18,out,Списание в счет школы,sbp,СБП,69900,Покупка абонемента ЗВШ,,5cba0129-f2df-1172-d1df-67a9eb1e13c2,b5d29334-0d4f-7eb2-da1a-68cbeff83508,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
c2134b76-4494-8a71-87be-68cbf0ddb40d,2025-09-18,out,Списание в счет школы,sbp,СБП,69900,Покупка абонемента звш,,3fb57921-85e9-68c3-fe78-6805f4e9d902,c1988b87-f65b-fdfe-0262-68cbf05d9b06,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
d178b5b7-dc02-f69d-e6bb-68cbf0962862,2025-09-18,out,Списание в счет школы,sbp,СБП,69900,Покупка абонемента ЗВШ,,e4a5facc-ab3c-1eb9-eb00-6805f5e8f9b3,d0e59ecd-d362-6f5c-3044-68cbf0b5099b,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
f2100169-91a3-6f57-61f3-68cbeed73984,2025-09-18,out,Списание в счет школы,alfabank,Альфа-банк,78400,Покупка абонемента ЗВШ,,ec3f88cf-75d2-c952-0a04-68c279a5c588,eb100da4-b130-7e70-5af1-68cbee925b1b,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
148d36cb-dd32-ce20-833f-68db9b65be3f,2025-09-26,in,Поступление на баланс,alfabank,Альфа-банк,78400,ЗВШ,,11e56d3f-5c63-c97a-7a39-68c909dd75bd,437bd307-eb51-ea9a-0bdf-69032740c4c2,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
f25e9ecb-ee84-143a-f67a-68db9b2e057d,2025-09-26,in,Поступление на баланс,alfabank,Альфа-банк,74480,ЗВШ,,3266385c-2648-2a4c-d708-65e6eaf35c30,bfc4212a-ff76-ed76-ca8a-6903282d951e,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
2f94687c-e1cc-4752-067e-68dba053e7b4,2025-09-29,out,Списание в счет школы,alfabank,Альфа-банк,78400,Покупка абонемента ЗВШ,,34d7c75d-cff8-d2cb-941a-68089cb63a7c,2f268814-8a7a-b264-2e4a-68dba0940bb6,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
3a2b51ed-354b-73f4-29d8-68dba0667b36,2025-09-29,in,Поступление на баланс,alfabank,Альфа-банк,78400,Оплата за абонемент ЗВШ,,34d7c75d-cff8-d2cb-941a-68089cb63a7c,2f268814-8a7a-b264-2e4a-68dba0940bb6,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
e371baf3-4dd3-819d-212c-68db9ef5c4a3,2025-09-29,out,Списание в счет школы,alfabank,Альфа-банк,78400,Покупка абонемента ЗВШ,,ab22131e-cc09-a5dd-97a4-63678c2367bd,e2fb15a5-e4da-0ad3-fdd5-68db9ea4b85c,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
e7921153-bd24-fa53-b2e5-68db9e6449e6,2025-09-29,in,Поступление на баланс,alfabank,Альфа-банк,78400,Оплата за абонемент ЗВШ,,ab22131e-cc09-a5dd-97a4-63678c2367bd,e2fb15a5-e4da-0ad3-fdd5-68db9ea4b85c,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
13d4e77c-18c3-2124-25d2-68dcdaf27f55,2025-09-30,out,Списание в счет школы,alfabank,Альфа-банк,70560,Покупка абонемента ЗВШ,,8370c094-8ed7-7757-64e2-673dab520617,1356d817-3898-abee-912e-68dcdaed17c4,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
1b319f32-8b7f-3cdc-ccee-68dcdaa2e93e,2025-09-30,in,Поступление на баланс,alfabank,Альфа-банк,70560,Оплата за абонемент ЗВШ,,8370c094-8ed7-7757-64e2-673dab520617,1356d817-3898-abee-912e-68dcdaed17c4,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
46b9c4c5-d001-50f5-ee60-68e4c85d06d6,2025-10-03,out,Списание в счет школы,alfabank,Альфа-банк,78400,Покупка абонемента ЗВШ,,113dbda7-daf9-42b5-abb8-668153ca226b,45956aa9-8ce5-1f90-38e3-68e4c80bff5a,,,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,,,,
